SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:08.866399 -151.019 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:09.866006 -150.968 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:10.865482 -150.937 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:11.865089 -150.896 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:12.864696 -150.844 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:13.864172 -150.797 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:14.863780 -150.745 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:15.863387 -150.703 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:16.862994 -150.666 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:17.862470 -150.63 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:18.862077 -150.574 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:19.861553 -150.531 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:20.861160 -150.481 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:21.860767 -150.427 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:22.860375 -150.376 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:23.859982 -150.325 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:24.859589 -150.284 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:25.859327 -150.228 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:26.858934 -150.179 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:27.858672 -150.133 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:28.858280 -150.105 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:29.866275 -150.065 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:30.866014 -150.004 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:31.865752 -149.948 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:32.865490 -149.884 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:33.865228 -149.839 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:34.864966 -149.811 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:35.864705 -149.759 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:36.864312 -149.711 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:37.864050 -149.673 LOLO MAJOR
SIOC:UNDS:PT01:0:TIME0         2020-10-23 12:03:38.863657 -149.634 LOLO MAJOR
